MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3010000000,Khoi Nguyen Packing Business Household,District 1,"426 Vo, Van Kiet St",Ho Chi Minh,,VN,Vietnam,"District 1, Ho Chi Minh, , Vietnam","Ho Chi Minh, Vietnam",16YCE12,4/28/2017,DNEI,KM6-3502149-6,121,2,,No,No,249,FILTHY,,,,,,,"SHRIMP PASTE, FISHERY PRODUCTS, N.E.C."
3010000000,MAY YU MARINE PRODUCTS CO. LTD,"NO.525, MAY YU STREET",INDUSTRIAL ZONE 1,South Dagon T/s,Yangon,MM,Myanmar,"NO.525, MAY YU STREET, South Dagon T/s, Yangon, Myanmar","South Dagon T/s, Myanmar",16JGT05,2/7/2018,DNEI,KM6-3510551-3,21,1,,No,No,308,MFR INSAN,,,,,,,SHRIMP & PRAWNS
3010000000,MAY YU MARINE PRODUCTS CO. LTD,"NO.525, MAY YU STREET",INDUSTRIAL ZONE 1,South Dagon T/s,Yangon,MM,Myanmar,"NO.525, MAY YU STREET, South Dagon T/s, Yangon, Myanmar","South Dagon T/s, Myanmar",16JGD05,2/7/2018,DNEI,KM6-3510551-3,31,1,,No,No,308,MFR INSAN,,,,,,,SHRIMP & PRAWNS
3010000000,MAY YU MARINE PRODUCTS CO. LTD,"NO.525, MAY YU STREET",INDUSTRIAL ZONE 1,South Dagon T/s,Yangon,MM,Myanmar,"NO.525, MAY YU STREET, South Dagon T/s, Yangon, Myanmar","South Dagon T/s, Myanmar",16JGH05,2/7/2018,DNEI,KM6-3510551-3,31,2,,No,No,308,MFR INSAN,,,,,,,SHRIMP & PRAWNS
3010000000,"DALIAN JINHUI MARINE PRODUCT CO., L",Hujia Village Shuangdaowan Streer,,Lvshunkou,,CN,China,"Hujia Village Shuangdaowan Streer, Lvshunkou, , China","Lvshunkou, China",16JGH05,3/5/2018,DNEI,KM6-3510647-9,11,1,,No,Yes,2860,VETDRUGES,,,,,,,SHRIMP & PRAWNS
3010000000,"DALIAN JINHUI MARINE PRODUCT CO., L",Hujia Village Shuangdaowan Streer,,Lvshunkou,,CN,China,"Hujia Village Shuangdaowan Streer, Lvshunkou, , China","Lvshunkou, China",16JGT05,2/26/2018,DNEI,KM6-3510814-5,11,1,,No,Yes,"2860, 238",VETDRUGES, UNSAFE ADD,,,,,,SHRIMP & PRAWNS
2000000000,"Dalian shanhai seafood co., ltd.",11 Bilang Beiyuan,Zhongshan,Dalian,Liaoning,CN,China,"11 Bilang Beiyuan, Dalian, Liaoning, China","Dalian, China",16KGD05,2/1/2017,NYK-DO,KM6-1500964-4,31,1,,No,No,"238, 2860",UNSAFE ADD, VETDRUGES,,,,,,"SHRIMP & PRAWNS, BREADED"
2000000000,"Dalian shanhai seafood co., ltd.",11 Bilang Beiyuan,Zhongshan,Dalian,Liaoning,CN,China,"11 Bilang Beiyuan, Dalian, Liaoning, China","Dalian, China",16KGD05,2/1/2017,NYK-DO,KM6-1500964-4,31,2,,No,No,"2860, 238",VETDRUGES, UNSAFE ADD,,,,,,"SHRIMP & PRAWNS, BREADED"
3010000000,LEE FUNG MARINE PRODUCTS TRADING,25 BONHAM STRAND WEST,,HONG KONG,,HK,Hong Kong,"25 BONHAM STRAND WEST, HONG KONG, , Hong Kong","HONG KONG, Hong Kong",16JGH05,3/20/2017,DNEI,KM6-3502449-0,11,1,,No,No,"2860, 238",VETDRUGES, UNSAFE ADD,,,,,,SHRIMP & PRAWNS
3010000000,Rosemco Foods limited,"Niklapur,Rupsha,Khulna",,Khulna,BD-27,BD,Bangladesh,"Niklapur,Rupsha,Khulna, Khulna, BD-27, Bangladesh","Khulna, Bangladesh",16XGD21,2/22/2018,DNEI,KM6-3511472-1,11,1,,No,No,"249, 9",FILTHY, SALMONELLA,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
